Step,Action,Price,Cash,BTC,BTC_Value,Total
104,-1,57805.45,1924994.91,-16,-924887.25,1000107.66
105,1,57805.45,75219.11,16,924887.25,1000106.36
106,1,57805.45,75219.11,16,924887.25,1000106.36
107,1,57818.20,75219.11,16,925091.25,1000310.36
108,1,57836.45,75219.11,16,925383.25,1000602.36
109,1,57836.45,75219.11,16,925383.25,1000602.36
110,1,57858.23,75219.11,16,925731.62,1000950.74
111,1,57859.16,75219.11,16,925746.50,1000965.61
112,1,57852.73,75219.11,16,925643.75,1000862.86
113,1,57853.77,75219.11,16,925660.25,1000879.36
114,1,57853.77,75219.11,16,925660.25,1000879.36
115,1,57842.75,75219.11,16,925484.06,1000703.18
116,1,57842.77,75219.11,16,925484.25,1000703.36
117,1,57853.75,75219.11,16,925660.06,1000879.18
118,1,57888.02,75219.11,16,926208.38,1001427.49
119,1,57898.88,75219.11,16,926382.00,1001601.11
120,1,57898.86,75219.11,16,926381.81,1001600.93
121,1,57898.86,75219.11,16,926381.81,1001600.93
122,1,57898.86,75219.11,16,926381.81,1001600.93
123,-1,57899.04,1927986.94,-16,-926384.56,1001602.38
124,1,57901.62,75133.64,16,926426.00,1001559.64
125,1,57903.52,75133.64,16,926456.25,1001589.89
126,1,57903.50,75133.64,16,926456.06,1001589.71
127,1,57889.55,75133.64,16,926232.88,1001366.52
128,1,57860.50,75133.64,16,925768.06,1000901.71
129,1,57857.14,75133.64,16,925714.19,1000847.83
130,1,57825.57,75133.64,16,925209.19,1000342.83
131,1,57825.57,75133.64,16,925209.19,1000342.83
132,1,57853.11,75133.64,16,925649.69,1000783.33
133,1,57857.89,75133.64,16,925726.19,1000859.83
134,1,57863.64,75133.64,16,925818.31,1000951.96
135,1,57869.68,75133.64,16,925914.81,1001048.46
136,1,57874.36,75133.64,16,925989.69,1001123.33
137,1,57892.61,75133.64,16,926281.69,1001415.33
138,1,57892.61,75133.64,16,926281.69,1001415.33
139,1,57877.82,75133.64,16,926045.19,1001178.83
140,1,57877.82,75133.64,16,926045.19,1001178.83
141,1,57877.82,75133.64,16,926045.06,1001178.71
